Name,Last Name,Birthday,Age,Email,Phone Number
Michael,Johnson,1975-08-20,49,sghagah@gmail.com,555-555-7890
Emily,Davis,1992-11-05,32,,555-555-3456
David,Lee,1968-04-12,56,[email address removed],555-555-0987
Olivia,Taylor,1995-07-18,29,[email address removed],555-555-6789
William,Brown,1980-02-25,44,[email address removed],555-555-2345
Emma,Wilson,1998-09-03,26,[email address removed],555-555-8765
James,Carter,1972-06-10,52,[email address removed],555-555-4567
Sophia,Miller,1997-03-22,27,[email address removed],555-555-9876
Ethan,Jones,1978-12-07,45,[email address removed],555-555-1234
Ava,Clark,1999-05-15,25,[email address removed],555-555-5678
